"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2012",0.326,
"AUS","INCOMEINEQ","GINI","INEQ","A","2014",0.337,
"AUS","INCOMEINEQ","GINI","INEQ","A","2016",0.33,
"AUS","INCOMEINEQ","GINI","INEQ","A","2018",0.325,
"AUS","INCOMEINEQ","GINI","INEQ","A","2020",0.318,
"AUT","INCOMEINEQ","GINI","INEQ","A","2007",0.284,
"AUT","INCOMEINEQ","GINI","INEQ","A","2008",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2009",0.289,
"AUT","INCOMEINEQ","GINI","INEQ","A","2010",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2011",0.281,
"AUT","INCOMEINEQ","GINI","INEQ","A","2012",0.276,
"AUT","INCOMEINEQ","GINI","INEQ","A","2013",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"AUT","INCOMEINEQ","GINI","INEQ","A","2015",0.275,
"AUT","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"AUT","INCOMEINEQ","GINI","INEQ","A","2017",0.275,
"AUT","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2019",0.274,
"BEL","INCOMEINEQ","GINI","INEQ","A","2018",0.258,
"BEL","INCOMEINEQ","GINI","INEQ","A","2019",0.262,
"CAN","INCOMEINEQ","GINI","INEQ","A","1995",0.293,
"CAN","INCOMEINEQ","GINI","INEQ","A","1996",0.301,
"CAN","INCOMEINEQ","GINI","INEQ","A","1997",0.304,
"CAN","INCOMEINEQ","GINI","INEQ","A","1998",0.31,
"CAN","INCOMEINEQ","GINI","INEQ","A","1999",0.308,
"CAN","INCOMEINEQ","GINI","INEQ","A","2000",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2001",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2002",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2003",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2004",0.321,
"CAN","INCOMEINEQ","GINI","INEQ","A","2005",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2006",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2007",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2008",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2009",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2010",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2011",0.313,
"CAN","INCOMEINEQ","GINI","INEQ","A","2012",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2013",0.319,
"CAN","INCOMEINEQ","GINI","INEQ","A","2014",0.312,
"CAN","INCOMEINEQ","GINI","INEQ","A","2015",0.318,
"CAN","INCOMEINEQ","GINI","INEQ","A","2016",0.307,
"CAN","INCOMEINEQ","GINI","INEQ","A","2017",0.31,
"CAN","INCOMEINEQ","GINI","INEQ","A","2018",0.304,
"CAN","INCOMEINEQ","GINI","INEQ","A","2019",0.3,
"CAN","INCOMEINEQ","GINI","INEQ","A","2020",0.28,
"CZE","INCOMEINEQ","GINI","INEQ","A","2004",0.267,
"CZE","INCOMEINEQ","GINI","INEQ","A","2005",0.261,
"CZE","INCOMEINEQ","GINI","INEQ","A","2006",0.26,
"CZE","INCOMEINEQ","GINI","INEQ","A","2007",0.256,
"CZE","INCOMEINEQ","GINI","INEQ","A","2008",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2009",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2010",0.26,
"CZE","INCOMEINEQ","GINI","INEQ","A","2011",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2012",0.254,
"CZE","INCOMEINEQ","GINI","INEQ","A","2013",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2015",0.258,
"CZE","INCOMEINEQ","GINI","INEQ","A","2016",0.253,
"CZE","INCOMEINEQ","GINI","INEQ","A","2017",0.249,
"CZE","INCOMEINEQ","GINI","INEQ","A","2018",0.249,
"CZE","INCOMEINEQ","GINI","INEQ","A","2019",0.248,
"DNK","INCOMEINEQ","GINI","INEQ","A","2011",0.251,
"DNK","INCOMEINEQ","GINI","INEQ","A","2012",0.249,
"DNK","INCOMEINEQ","GINI","INEQ","A","2013",0.254,
"DNK","INCOMEINEQ","GINI","INEQ","A","2014",0.256,
"DNK","INCOMEINEQ","GINI","INEQ","A","2015",0.263,
"DNK","INCOMEINEQ","GINI","INEQ","A","2016",0.261,
"DNK","INCOMEINEQ","GINI","INEQ","A","2017",0.264,
"DNK","INCOMEINEQ","GINI","INEQ","A","2018",0.263,
"DNK","INCOMEINEQ","GINI","INEQ","A","2019",0.268,
"FIN","INCOMEINEQ","GINI","INEQ","A","1995",0.22,
"FIN","INCOMEINEQ","GINI","INEQ","A","1996",0.224,
"FIN","INCOMEINEQ","GINI","INEQ","A","1997",0.235,
"FIN","INCOMEINEQ","GINI","INEQ","A","1998",0.243,
"FIN","INCOMEINEQ","GINI","INEQ","A","1999",0.25,
"FIN","INCOMEINEQ","GINI","INEQ","A","2000",0.254,
"FIN","INCOMEINEQ","GINI","INEQ","A","2001",0.262,
"FIN","INCOMEINEQ","GINI","INEQ","A","2002",0.258,
"FIN","INCOMEINEQ","GINI","INEQ","A","2003",0.261,
"FIN","INCOMEINEQ","GINI","INEQ","A","2004",0.266,
"FIN","INCOMEINEQ","GINI","INEQ","A","2005",0.265,
"FIN","INCOMEINEQ","GINI","INEQ","A","2006",0.268,
"FIN","INCOMEINEQ","GINI","INEQ","A","2007",0.269,
"FIN","INCOMEINEQ","GINI","INEQ","A","2008",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2009",0.259,
"FIN","INCOMEINEQ","GINI","INEQ","A","2010",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2011",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2012",0.26,
"FIN","INCOMEINEQ","GINI","INEQ","A","2013",0.262,
"FIN","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"FIN","INCOMEINEQ","GINI","INEQ","A","2015",0.26,
"FIN","INCOMEINEQ","GINI","INEQ","A","2016",0.259,
"FIN","INCOMEINEQ","GINI","INEQ","A","2017",0.266,
"FIN","INCOMEINEQ","GINI","INEQ","A","2018",0.269,
"FIN","INCOMEINEQ","GINI","INEQ","A","2019",0.273,
"FIN","INCOMEINEQ","GINI","INEQ","A","2020",0.265,
"FRA","INCOMEINEQ","GINI","INEQ","A","2012",0.305,
"FRA","INCOMEINEQ","GINI","INEQ","A","2013",0.291,
"FRA","INCOMEINEQ","GINI","INEQ","A","2014",0.293,
"FRA","INCOMEINEQ","GINI","INEQ","A","2015",0.295,
"FRA","INCOMEINEQ","GINI","INEQ","A","2016",0.291,
"FRA","INCOMEINEQ","GINI","INEQ","A","2017",0.292,
"FRA","INCOMEINEQ","GINI","INEQ","A","2018",0.301,
"FRA","INCOMEINEQ","GINI","INEQ","A","2019",0.292,
"DEU","INCOMEINEQ","GINI","INEQ","A","2008",0.285,
"DEU","INCOMEINEQ","GINI","INEQ","A","2011",0.291,
"DEU","INCOMEINEQ","GINI","INEQ","A","2012",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2013",0.292,
"DEU","INCOMEINEQ","GINI","INEQ","A","2014",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2015",0.293,
"DEU","INCOMEINEQ","GINI","INEQ","A","2016",0.294,
"DEU","INCOMEINEQ","GINI","INEQ","A","2017",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2018",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2019",0.296,
"GRC","INCOMEINEQ","GINI","INEQ","A","2004",0.333,
"GRC","INCOMEINEQ","GINI","INEQ","A","2005",0.345,
"GRC","INCOMEINEQ","GINI","INEQ","A","2006",0.337,
"GRC","INCOMEINEQ","GINI","INEQ","A","2007",0.329,
"GRC","INCOMEINEQ","GINI","INEQ","A","2008",0.328,
"GRC","INCOMEINEQ","GINI","INEQ","A","2009",0.33,
"GRC","INCOMEINEQ","GINI","INEQ","A","2010",0.336,
"GRC","INCOMEINEQ","GINI","INEQ","A","2011",0.333,
"GRC","INCOMEINEQ","GINI","INEQ","A","2012",0.338,
"GRC","INCOMEINEQ","GINI","INEQ","A","2013",0.342,
"GRC","INCOMEINEQ","GINI","INEQ","A","2014",0.339,
"GRC","INCOMEINEQ","GINI","INEQ","A","2015",0.34,
"GRC","INCOMEINEQ","GINI","INEQ","A","2016",0.333,
"GRC","INCOMEINEQ","GINI","INEQ","A","2017",0.319,
"GRC","INCOMEINEQ","GINI","INEQ","A","2018",0.306,
"GRC","INCOMEINEQ","GINI","INEQ","A","2019",0.308,
"HUN","INCOMEINEQ","GINI","INEQ","A","2006",0.264,
"HUN","INCOMEINEQ","GINI","INEQ","A","2007",0.257,
"HUN","INCOMEINEQ","GINI","INEQ","A","2008",0.246,
"HUN","INCOMEINEQ","GINI","INEQ","A","2009",0.241,
"HUN","INCOMEINEQ","GINI","INEQ","A","2010",0.266,
"HUN","INCOMEINEQ","GINI","INEQ","A","2011",0.269,
"HUN","INCOMEINEQ","GINI","INEQ","A","2012",0.279,
"HUN","INCOMEINEQ","GINI","INEQ","A","2013",0.286,
"HUN","INCOMEINEQ","GINI","INEQ","A","2014",0.281,
"HUN","INCOMEINEQ","GINI","INEQ","A","2015",0.284,
"HUN","INCOMEINEQ","GINI","INEQ","A","2016",0.28,
"HUN","INCOMEINEQ","GINI","INEQ","A","2017",0.289,
"HUN","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"HUN","INCOMEINEQ","GINI","INEQ","A","2019",0.286,
"ISL","INCOMEINEQ","GINI","INEQ","A","2004",0.261,
"ISL","INCOMEINEQ","GINI","INEQ","A","2005",0.273,
"ISL","INCOMEINEQ","GINI","INEQ","A","2006",0.289,
"ISL","INCOMEINEQ","GINI","INEQ","A","2007",0.285,
"ISL","INCOMEINEQ","GINI","INEQ","A","2008",0.306,
"ISL","INCOMEINEQ","GINI","INEQ","A","2009",0.266,
"ISL","INCOMEINEQ","GINI","INEQ","A","2010",0.248,
"ISL","INCOMEINEQ","GINI","INEQ","A","2011",0.252,
"ISL","INCOMEINEQ","GINI","INEQ","A","2012",0.252,
"ISL","INCOMEINEQ","GINI","INEQ","A","2013",0.24,
"ISL","INCOMEINEQ","GINI","INEQ","A","2014",0.246,
"ISL","INCOMEINEQ","GINI","INEQ","A","2015",0.257,
"ISL","INCOMEINEQ","GINI","INEQ","A","2016",0.264,
"ISL","INCOMEINEQ","GINI","INEQ","A","2017",0.25,
"IRL","INCOMEINEQ","GINI","INEQ","A","2004",0.323,
"IRL","INCOMEINEQ","GINI","INEQ","A","2005",0.324,
"IRL","INCOMEINEQ","GINI","INEQ","A","2006",0.316,
"IRL","INCOMEINEQ","GINI","INEQ","A","2007",0.304,
"IRL","INCOMEINEQ","GINI","INEQ","A","2008",0.295,
"IRL","INCOMEINEQ","GINI","INEQ","A","2009",0.312,
"IRL","INCOMEINEQ","GINI","INEQ","A","2010",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2011",0.307,
"IRL","INCOMEINEQ","GINI","INEQ","A","2012",0.31,
"IRL","INCOMEINEQ","GINI","INEQ","A","2013",0.312,
"IRL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2015",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2016",0.309,
"IRL","INCOMEINEQ","GINI","INEQ","A","2017",0.295,
"IRL","INCOMEINEQ","GINI","INEQ","A","2018",0.292,
"ITA","INCOMEINEQ","GINI","INEQ","A","2004",0.331,
"ITA","INCOMEINEQ","GINI","INEQ","A","2005",0.324,
"ITA","INCOMEINEQ","GINI","INEQ","A","2006",0.324,
"ITA","INCOMEINEQ","GINI","INEQ","A","2007",0.313,
"ITA","INCOMEINEQ","GINI","INEQ","A","2008",0.317,
"ITA","INCOMEINEQ","GINI","INEQ","A","2009",0.315,
"ITA","INCOMEINEQ","GINI","INEQ","A","2010",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2011",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2012",0.33,
"ITA","INCOMEINEQ","GINI","INEQ","A","2013",0.325,
"ITA","INCOMEINEQ","GINI","INEQ","A","2014",0.326,
"ITA","INCOMEINEQ","GINI","INEQ","A","2015",0.333,
"ITA","INCOMEINEQ","GINI","INEQ","A","2016",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2017",0.334,
"ITA","INCOMEINEQ","GINI","INEQ","A","2018",0.33,
"JPN","INCOMEINEQ","GINI","INEQ","A","2018",0.334,
"KOR","INCOMEINEQ","GINI","INEQ","A","2011",0.388,
"KOR","INCOMEINEQ","GINI","INEQ","A","2012",0.385,
"KOR","INCOMEINEQ","GINI","INEQ","A","2013",0.372,
"KOR","INCOMEINEQ","GINI","INEQ","A","2014",0.363,
"KOR","INCOMEINEQ","GINI","INEQ","A","2015",0.352,
"KOR","INCOMEINEQ","GINI","INEQ","A","2016",0.355,
"KOR","INCOMEINEQ","GINI","INEQ","A","2017",0.354,
"KOR","INCOMEINEQ","GINI","INEQ","A","2018",0.345,
"KOR","INCOMEINEQ","GINI","INEQ","A","2019",0.339,
"KOR","INCOMEINEQ","GINI","INEQ","A","2020",0.331,
"LUX","INCOMEINEQ","GINI","INEQ","A","2015",0.306,
"LUX","INCOMEINEQ","GINI","INEQ","A","2016",0.305,
"LUX","INCOMEINEQ","GINI","INEQ","A","2017",0.327,
"LUX","INCOMEINEQ","GINI","INEQ","A","2018",0.318,
"LUX","INCOMEINEQ","GINI","INEQ","A","2019",0.305,
"MEX","INCOMEINEQ","GINI","INEQ","A","2012",0.457,
"MEX","INCOMEINEQ","GINI","INEQ","A","2014",0.459,
"MEX","INCOMEINEQ","GINI","INEQ","A","2016",0.459,
"MEX","INCOMEINEQ","GINI","INEQ","A","2018",0.418,
"MEX","INCOMEINEQ","GINI","INEQ","A","2020",0.42,
"NLD","INCOMEINEQ","GINI","INEQ","A","2011",0.294,
"NLD","INCOMEINEQ","GINI","INEQ","A","2012",0.293,
"NLD","INCOMEINEQ","GINI","INEQ","A","2013",0.287,
"NLD","INCOMEINEQ","GINI","INEQ","A","2014",0.305,
"NLD","INCOMEINEQ","GINI","INEQ","A","2015",0.305,
"NLD","INCOMEINEQ","GINI","INEQ","A","2016",0.292,
"NLD","INCOMEINEQ","GINI","INEQ","A","2017",0.298,
"NLD","INCOMEINEQ","GINI","INEQ","A","2018",0.295,
"NLD","INCOMEINEQ","GINI","INEQ","A","2019",0.312,
"NLD","INCOMEINEQ","GINI","INEQ","A","2020",0.304,"P"
"NZL","INCOMEINEQ","GINI","INEQ","A","2006",0.332,
"NZL","INCOMEINEQ","GINI","INEQ","A","2007",0.331,
"NZL","INCOMEINEQ","GINI","INEQ","A","2008",0.328,
"NZL","INCOMEINEQ","GINI","INEQ","A","2009",0.329,
"NZL","INCOMEINEQ","GINI","INEQ","A","2010",0.335,
"NZL","INCOMEINEQ","GINI","INEQ","A","2011",0.329,
"NZL","INCOMEINEQ","GINI","INEQ","A","2012",0.335,
"NZL","INCOMEINEQ","GINI","INEQ","A","2013",0.341,
